vessel_name,full_date,scheduled_departure,avg_temperature,avg_dew_point,avg_relative_humidity_in_percent,delay_indicator
Queen of Surrey,2016/12/20,6:20:00,4.45,3.95,97,0
Queen of New Westminster,2016/12/20,7:45:00,5.25,3.45,88.5,0
Coastal Inspiration,2016/12/20,7:45:00,5.25,3.45,88.5,0
Spirit of British Columbia,2016/12/20,7:00:00,5.25,3.45,88.5,0
Queen of Oak Bay,2016/12/20,8:30:00,6.3,2.85,78.5,0
Queen of Surrey,2016/12/20,8:20:00,6.3,2.85,78.5,1
Spirit of Vancouver Island,2016/12/20,9:00:00,6.95,2.45,73,0
Queen of Coquitlam,2016/12/20,10:30:00,7.4,2.8,72.5,0
Queen of Surrey,2016/12/20,10:20:00,7.4,2.8,72.5,1
Coastal Inspiration,2016/12/20,10:15:00,7.4,2.8,72.5,0
Queen of imo,2016/12/20,10:10:00,7.4,2.8,72.5,0
Queen of New Westminster,2016/12/20,10:15:00,7.4,2.8,72.5,0
Spirit of British Columbia,2016/12/20,11:00:00,7.2,3.45,77,0
Queen of New Westminster,2016/12/20,12:45:00,7.25,3.15,75,0
Queen of Oak Bay,2016/12/20,12:30:00,7.25,3.15,75,1
Coastal Inspiration,2016/12/20,12:45:00,7.25,3.15,75,0
Queen of Surrey,2016/12/20,12:20:00,7.25,3.15,75,1
Spirit of Vancouver Island,2016/12/20,13:00:00,7.55,3.25,74,0
Queen of Surrey,2016/12/20,14:30:00,8.05,3.35,72,1
Coastal Celebration,2016/12/20,14:00:00,8.05,3.35,72,0
Queen of Coquitlam,2016/12/20,15:00:00,8.3,2.85,68.5,0
Spirit of British Columbia,2016/12/20,15:00:00,8.3,2.85,68.5,0
Queen of New Westminster,2016/12/20,15:15:00,8.3,2.85,68.5,0
Coastal Inspiration,2016/12/20,15:15:00,8.3,2.85,68.5,0
Queen of Surrey,2016/12/20,16:30:00,7.85,3.05,72,1
Queen of New Westminster,2016/12/20,17:45:00,6.8,3.15,78,0
Coastal Inspiration,2016/12/20,17:45:00,6.8,3.15,78,0
Queen of Oak Bay,2016/12/20,17:00:00,6.8,3.15,78,1
Spirit of Vancouver Island,2016/12/20,17:00:00,6.8,3.15,78,0
Queen of Surrey,2016/12/20,18:30:00,5.5,3.1,85,1
Queen of imo,2016/12/20,19:20:00,4.8,3.2,89.5,0
Spirit of British Columbia,2016/12/20,19:00:00,4.8,3.2,89.5,0
Coastal Inspiration,2016/12/20,20:15:00,4.65,3.15,90,0
Queen of Surrey,2016/12/20,20:20:00,4.65,3.15,90,1
Queen of New Westminster,2016/12/20,20:15:00,4.65,3.15,90,0
Queen of Oak Bay,2016/12/20,21:00:00,4.5,3.15,91,1
Spirit of Vancouver Island,2016/12/20,21:00:00,4.5,3.15,91,0
Coastal Inspiration,2016/12/20,22:45:00,4.35,3.2,92,0
Queen of New Westminster,2016/12/20,22:45:00,4.35,3.2,92,0
Queen of New Westminster,2016/12/21,5:15:00,4.8,3.65,92.5,0
Coastal Inspiration,2016/12/21,5:15:00,4.8,3.65,92.5,0
Queen of Surrey,2016/12/21,6:20:00,5.05,3.8,92,0
Queen of Coquitlam,2016/12/21,6:30:00,5.05,3.8,92,0
Queen of New Westminster,2016/12/21,7:45:00,5.25,4.05,92,0
Coastal Inspiration,2016/12/21,7:45:00,5.25,4.05,92,0
Spirit of British Columbia,2016/12/21,7:00:00,5.25,4.05,92,0
Queen of Surrey,2016/12/21,8:20:00,5.45,4.1,91,0
Queen of Oak Bay,2016/12/21,8:30:00,5.45,4.1,91,0
Spirit of Vancouver Island,2016/12/21,9:00:00,5.65,4.1,90,0
Queen of Coquitlam,2016/12/21,10:30:00,5.95,4.25,88.5,0
Coastal Inspiration,2016/12/21,10:15:00,5.95,4.25,88.5,0
Queen of imo,2016/12/21,10:10:00,5.95,4.25,88.5,0
Queen of Surrey,2016/12/21,10:20:00,5.95,4.25,88.5,1
Queen of New Westminster,2016/12/21,10:15:00,5.95,4.25,88.5,0
Spirit of British Columbia,2016/12/21,11:00:00,6.35,4.4,87,0
Queen of Oak Bay,2016/12/21,12:30:00,6.35,4.4,87.5,1
Queen of Surrey,2016/12/21,12:20:00,6.35,4.4,87.5,1
Coastal Inspiration,2016/12/21,12:45:00,6.35,4.4,87.5,0
Queen of New Westminster,2016/12/21,12:45:00,6.35,4.4,87.5,0
Spirit of Vancouver Island,2016/12/21,13:00:00,6.5,4.25,86,0
Queen of Surrey,2016/12/21,14:30:00,6.65,4.2,84.5,1
Coastal Celebration,2016/12/21,14:00:00,6.65,4.2,84.5,0
Queen of Coquitlam,2016/12/21,15:00:00,6.25,4.1,86,0
Queen of New Westminster,2016/12/21,15:15:00,6.25,4.1,86,0
Spirit of British Columbia,2016/12/21,15:00:00,6.25,4.1,86,0
Coastal Inspiration,2016/12/21,15:15:00,6.25,4.1,86,0
Queen of Surrey,2016/12/21,16:30:00,5.8,3.55,85.5,1
Queen of New Westminster,2016/12/21,17:45:00,5.35,3,85,0
Spirit of Vancouver Island,2016/12/21,17:00:00,5.35,3,85,0
Coastal Inspiration,2016/12/21,17:45:00,5.35,3,85,0
Queen of Oak Bay,2016/12/21,17:00:00,5.35,3,85,0
Queen of Surrey,2016/12/21,18:30:00,5.2,2.75,84.5,1
Coastal Celebration,2016/12/21,18:00:00,5.2,2.75,84.5,0
Queen of imo,2016/12/21,19:20:00,5.15,2.5,83,0
Spirit of British Columbia,2016/12/21,19:00:00,5.15,2.5,83,0
Queen of Surrey,2016/12/21,20:20:00,4.4,1.8,83,1
Queen of New Westminster,2016/12/21,20:15:00,4.4,1.8,83,0
Coastal Inspiration,2016/12/21,20:15:00,4.4,1.8,83,1
Queen of Oak Bay,2016/12/21,21:00:00,4.05,1.4,83,0
Spirit of Vancouver Island,2016/12/21,21:00:00,4.05,1.4,83,0
Coastal Inspiration,2016/12/21,22:45:00,4.45,2.15,85.5,0
Queen of New Westminster,2016/12/21,22:45:00,4.45,2.15,85.5,0
Queen of New Westminster,2016/12/22,5:15:00,4.7,2.15,83.5,0
Coastal Inspiration,2016/12/22,5:15:00,4.7,2.15,83.5,0
Queen of Coquitlam,2016/12/22,6:20:00,4.75,1.85,81.5,1
Queen of Surrey,2016/12/22,6:20:00,4.75,1.85,81.5,0
Queen of New Westminster,2016/12/22,7:45:00,5.15,2.15,81,0
Coastal Inspiration,2016/12/22,7:45:00,5.15,2.15,81,0
Spirit of British Columbia,2016/12/22,7:00:00,5.15,2.15,81,0
Queen of Oak Bay,2016/12/22,8:30:00,5.8,2.6,80,0
Queen of Surrey,2016/12/22,8:25:00,5.8,2.6,80,0
Spirit of Vancouver Island,2016/12/22,9:00:00,5.8,3.2,83.5,0
Coastal Celebration,2016/12/22,10:00:00,5.4,3.6,88.5,0
Queen of Coquitlam,2016/12/22,10:40:00,5.4,3.6,88.5,0
Queen of imo,2016/12/22,10:10:00,5.4,3.6,88.5,0
Queen of Surrey,2016/12/22,10:25:00,5.4,3.6,88.5,1
Coastal Inspiration,2016/12/22,10:15:00,5.4,3.6,88.5,0
Queen of New Westminster,2016/12/22,10:15:00,5.4,3.6,88.5,0
Spirit of British Columbia,2016/12/22,11:00:00,5.15,3.75,91,0
Queen of Surrey,2016/12/22,12:35:00,5.1,3.7,90.5,1
Queen of Oak Bay,2016/12/22,12:50:00,5.1,3.7,90.5,0
Queen of Cowichan,2016/12/22,12:00:00,5.1,3.7,90.5,1
Coastal Inspiration,2016/12/22,12:45:00,5.1,3.7,90.5,0
Coastal Reissance,2016/12/22,12:00:00,5.1,3.7,90.5,0
Queen of New Westminster,2016/12/22,12:45:00,5.1,3.7,90.5,0
Spirit of Vancouver Island,2016/12/22,13:00:00,5.4,3.3,86.5,0
Coastal Celebration,2016/12/22,14:00:00,5.45,3.55,88,1
Queen of Surrey,2016/12/22,14:45:00,5.45,3.55,88,1
Queen of Coquitlam,2016/12/22,15:10:00,5.4,3.8,89.5,0
Spirit of British Columbia,2016/12/22,15:00:00,5.4,3.8,89.5,0
Queen of New Westminster,2016/12/22,15:15:00,5.4,3.8,89.5,0
Coastal Inspiration,2016/12/22,15:15:00,5.4,3.8,89.5,0
Coastal Reissance,2016/12/22,16:00:00,5.45,3.65,88,0
Queen of Surrey,2016/12/22,16:50:00,5.45,3.65,88,1
Queen of Cowichan,2016/12/22,16:20:00,5.45,3.65,88,1
Coastal Inspiration,2016/12/22,17:45:00,5.25,3.55,88.5,1
Queen of Oak Bay,2016/12/22,17:20:00,5.25,3.55,88.5,1
Spirit of Vancouver Island,2016/12/22,17:00:00,5.25,3.55,88.5,0
Queen of New Westminster,2016/12/22,17:45:00,5.25,3.55,88.5,0
Queen of Surrey,2016/12/22,18:50:00,5.15,3.5,89,1
Coastal Celebration,2016/12/22,18:00:00,5.15,3.5,89,0
Spirit of British Columbia,2016/12/22,19:00:00,5.1,3.45,89.5,0
Queen of imo,2016/12/22,19:20:00,5.1,3.45,89.5,0
Queen of Coquitlam,2016/12/22,19:30:00,5.1,3.45,89.5,0
Queen of New Westminster,2016/12/22,20:15:00,4.95,3.35,90,0
Coastal Inspiration,2016/12/22,20:15:00,4.95,3.35,90,0
Queen of Surrey,2016/12/22,20:45:00,4.95,3.35,90,1
Queen of Oak Bay,2016/12/22,21:30:00,4.9,3.4,90,1
Spirit of Vancouver Island,2016/12/22,21:00:00,4.9,3.4,90,0
Queen of New Westminster,2016/12/22,22:45:00,4.95,3.4,89.5,0
Coastal Inspiration,2016/12/22,22:45:00,4.95,3.4,89.5,0
Coastal Inspiration,2016/12/23,5:15:00,3.65,2.85,94.5,0
Queen of New Westminster,2016/12/23,5:15:00,3.65,2.85,94.5,0
Queen of Surrey,2016/12/23,6:20:00,3.45,2.85,95.5,0
Queen of Coquitlam,2016/12/23,6:20:00,3.45,2.85,95.5,0
Coastal Inspiration,2016/12/23,7:45:00,3.55,2.85,95,0
Spirit of British Columbia,2016/12/23,7:00:00,3.55,2.85,95,0
Queen of New Westminster,2016/12/23,7:45:00,3.55,2.85,95,0
Queen of Surrey,2016/12/23,8:25:00,3.6,2.85,94.5,0
Queen of Oak Bay,2016/12/23,8:30:00,3.6,2.85,94.5,0
Coastal Reissance,2016/12/23,8:00:00,3.6,2.85,94.5,0
Spirit of Vancouver Island,2016/12/23,9:00:00,3.6,3,95.5,0
Queen of Cowichan,2016/12/23,9:50:00,3.6,3,95.5,1
Queen of New Westminster,2016/12/23,10:15:00,3.75,2.95,94.5,0
Queen of Surrey,2016/12/23,10:25:00,3.75,2.95,94.5,0
Coastal Celebration,2016/12/23,10:00:00,3.75,2.95,94.5,0
Queen of Coquitlam,2016/12/23,10:40:00,3.75,2.95,94.5,0
Coastal Inspiration,2016/12/23,10:15:00,3.75,2.95,94.5,0
Queen of imo,2016/12/23,10:10:00,3.75,2.95,94.5,1
Spirit of British Columbia,2016/12/23,11:00:00,3.55,2.6,93.5,0
Queen of Surrey,2016/12/23,12:35:00,3.5,2.6,94,0
Coastal Reissance,2016/12/23,12:00:00,3.5,2.6,94,0
Coastal Inspiration,2016/12/23,12:45:00,3.5,2.6,94,0
Queen of New Westminster,2016/12/23,12:45:00,3.5,2.6,94,0
Queen of Oak Bay,2016/12/23,12:50:00,3.5,2.6,94,1
Spirit of Vancouver Island,2016/12/23,13:00:00,3.4,2.5,94,0
Coastal Celebration,2016/12/23,14:00:00,3.1,2.2,94,1
Queen of Surrey,2016/12/23,14:45:00,3.1,2.2,94,1
Queen of Cowichan,2016/12/23,14:10:00,3.1,2.2,94,1
Spirit of British Columbia,2016/12/23,15:00:00,3,2.15,94,0
Coastal Inspiration,2016/12/23,15:15:00,3,2.15,94,0
Queen of Coquitlam,2016/12/23,15:10:00,3,2.15,94,0
Queen of New Westminster,2016/12/23,15:15:00,3,2.15,94,0
Coastal Reissance,2016/12/23,16:00:00,3.05,2.3,94.5,0
Queen of Surrey,2016/12/23,16:50:00,3.05,2.3,94.5,1
Coastal Inspiration,2016/12/23,17:45:00,2.9,2.2,95,0
Spirit of Vancouver Island,2016/12/23,17:00:00,2.9,2.2,95,0
Queen of New Westminster,2016/12/23,17:45:00,2.9,2.2,95,0
Queen of Oak Bay,2016/12/23,17:20:00,2.9,2.2,95,1
Coastal Celebration,2016/12/23,18:00:00,2.6,1.95,95.5,0
Queen of Surrey,2016/12/23,18:50:00,2.6,1.95,95.5,1
Queen of Cowichan,2016/12/23,18:30:00,2.6,1.95,95.5,1
Queen of imo,2016/12/23,19:20:00,2.5,1.85,95.5,0
Queen of Coquitlam,2016/12/23,19:30:00,2.5,1.85,95.5,0
Spirit of British Columbia,2016/12/23,19:00:00,2.5,1.85,95.5,0
Queen of New Westminster,2016/12/23,20:15:00,2.65,1.95,95.5,0
Coastal Inspiration,2016/12/23,20:15:00,2.65,1.95,95.5,0
Coastal Reissance,2016/12/23,20:00:00,2.65,1.95,95.5,0
Queen of Surrey,2016/12/23,20:45:00,2.65,1.95,95.5,1
Queen of Oak Bay,2016/12/23,21:30:00,2.8,2.15,95.5,1
Spirit of Vancouver Island,2016/12/23,21:00:00,2.8,2.15,95.5,0
Queen of New Westminster,2016/12/23,22:45:00,2.65,1.95,94.5,0
Coastal Inspiration,2016/12/23,22:45:00,2.65,1.95,94.5,0
Queen of New Westminster,2016/12/24,5:15:00,2.7,1.8,94,0
Coastal Inspiration,2016/12/24,5:15:00,2.7,1.8,94,0
Queen of Coquitlam,2016/12/24,6:20:00,2.7,1.7,93,0
Queen of Surrey,2016/12/24,6:20:00,2.7,1.7,93,0
Coastal Inspiration,2016/12/24,7:45:00,2.65,1.55,92.5,0
Spirit of British Columbia,2016/12/24,7:00:00,2.65,1.55,92.5,0
Queen of New Westminster,2016/12/24,7:45:00,2.65,1.55,92.5,0
Queen of imo,2016/12/24,8:35:00,2.7,1.5,92.5,0
Coastal Reissance,2016/12/24,8:00:00,2.7,1.5,92.5,0
Queen of Surrey,2016/12/24,8:25:00,2.7,1.5,92.5,0
Queen of Oak Bay,2016/12/24,8:30:00,2.7,1.5,92.5,0
Spirit of Vancouver Island,2016/12/24,9:00:00,3.05,1.7,91.5,0
Coastal Celebration,2016/12/24,10:00:00,3.4,1.95,90.5,0
Queen of New Westminster,2016/12/24,10:15:00,3.4,1.95,90.5,0
Coastal Inspiration,2016/12/24,10:15:00,3.4,1.95,90.5,0
Queen of Coquitlam,2016/12/24,10:40:00,3.4,1.95,90.5,0
Queen of Surrey,2016/12/24,10:25:00,3.4,1.95,90.5,0
Spirit of British Columbia,2016/12/24,11:00:00,3.5,1.8,88.5,0
Queen of Surrey,2016/12/24,12:35:00,4.05,1.55,83.5,0
Queen of imo,2016/12/24,12:15:00,4.05,1.55,83.5,0
Queen of Oak Bay,2016/12/24,12:50:00,4.05,1.55,83.5,0
Coastal Reissance,2016/12/24,12:00:00,4.05,1.55,83.5,0
Queen of New Westminster,2016/12/24,12:45:00,4.05,1.55,83.5,0
Coastal Inspiration,2016/12/24,12:45:00,4.05,1.55,83.5,0
Spirit of Vancouver Island,2016/12/24,13:00:00,4.4,0.75,77,0
Coastal Celebration,2016/12/24,14:00:00,4.25,-0.3,72,0
Queen of Surrey,2016/12/24,14:45:00,4.25,-0.3,72,0
Queen of Coquitlam,2016/12/24,15:10:00,4.05,-0.75,71,0
Coastal Inspiration,2016/12/24,15:15:00,4.05,-0.75,71,0
Spirit of British Columbia,2016/12/24,15:00:00,4.05,-0.75,71,0
Queen of New Westminster,2016/12/24,15:15:00,4.05,-0.75,71,0
Queen of Surrey,2016/12/24,16:50:00,4,0.25,77,0
Queen of Oak Bay,2016/12/24,17:20:00,3.4,0.95,84,0
Queen of New Westminster,2016/12/24,17:45:00,3.4,0.95,84,0
Spirit of Vancouver Island,2016/12/24,17:00:00,3.4,0.95,84,0
Coastal Inspiration,2016/12/24,17:45:00,3.4,0.95,84,0
Queen of Surrey,2016/12/24,18:50:00,2.65,0.6,86.5,0
Queen of Coquitlam,2016/12/24,19:30:00,2.5,0.45,86.5,0
Spirit of British Columbia,2016/12/24,19:00:00,2.5,0.45,86.5,0
Queen of Surrey,2016/12/24,20:45:00,2.2,-0.35,83,0
Queen of imo,2016/12/24,20:45:00,2.2,-0.35,83,1
Spirit of Vancouver Island,2016/12/24,21:00:00,1.15,-1.3,83.5,1
Queen of Oak Bay,2016/12/24,21:30:00,1.15,-1.3,83.5,0
Queen of Coquitlam,2016/12/25,6:20:00,-0.3,-2.45,85.5,0
Spirit of British Columbia,2016/12/25,7:00:00,-1.2,-2.65,90,0
Queen of Surrey,2016/12/25,8:25:00,-0.25,-2.75,83.5,0
Queen of Oak Bay,2016/12/25,8:30:00,-0.25,-2.75,83.5,0
Spirit of Vancouver Island,2016/12/25,9:00:00,1.75,-2.45,73.5,0
Queen of Coquitlam,2016/12/25,10:40:00,2.6,-2.25,70,0
Queen of New Westminster,2016/12/25,10:15:00,2.6,-2.25,70,0
Coastal Inspiration,2016/12/25,10:15:00,2.6,-2.25,70,0
Queen of Surrey,2016/12/25,10:25:00,2.6,-2.25,70,0
Queen of imo,2016/12/25,11:10:00,2.8,-3.2,64.5,0
Spirit of British Columbia,2016/12/25,11:00:00,2.8,-3.2,64.5,0
Queen of New Westminster,2016/12/25,12:45:00,3.15,-3.95,59.5,0
Queen of Surrey,2016/12/25,12:35:00,3.15,-3.95,59.5,0
Coastal Inspiration,2016/12/25,12:45:00,3.15,-3.95,59.5,0
Queen of Oak Bay,2016/12/25,12:50:00,3.15,-3.95,59.5,0
Spirit of Vancouver Island,2016/12/25,13:00:00,2.9,-4,60,1
Queen of Surrey,2016/12/25,14:45:00,2.6,-3.3,64.5,0
Coastal Inspiration,2016/12/25,15:15:00,2.55,-2.9,67,0
Queen of Coquitlam,2016/12/25,15:10:00,2.55,-2.9,67,0
Queen of New Westminster,2016/12/25,15:15:00,2.55,-2.9,67,0
Spirit of British Columbia,2016/12/25,15:00:00,2.55,-2.9,67,0
Queen of Surrey,2016/12/25,16:50:00,2.15,-3.2,68,0
Queen of New Westminster,2016/12/25,17:45:00,1.85,-3.2,69.5,0
Spirit of Vancouver Island,2016/12/25,17:00:00,1.85,-3.2,69.5,0
Coastal Inspiration,2016/12/25,17:45:00,1.85,-3.2,69.5,0
Queen of Oak Bay,2016/12/25,17:20:00,1.85,-3.2,69.5,0
Queen of Surrey,2016/12/25,18:50:00,1.25,-2.5,76.5,0
Queen of imo,2016/12/25,18:40:00,1.25,-2.5,76.5,0
Queen of Coquitlam,2016/12/25,19:30:00,0.95,-1.95,81,0
Spirit of British Columbia,2016/12/25,19:00:00,0.95,-1.95,81,0
Queen of Surrey,2016/12/25,20:45:00,1.1,-2.05,79.5,0
Queen of imo,2016/12/25,21:35:00,1,-2.05,80,0
Spirit of Vancouver Island,2016/12/25,21:00:00,1,-2.05,80,0
Queen of Oak Bay,2016/12/25,21:30:00,1,-2.05,80,0
Queen of New Westminster,2016/12/26,5:15:00,1.45,0.1,91,0
Coastal Inspiration,2016/12/26,5:15:00,1.45,0.1,91,0
Queen of Coquitlam,2016/12/26,6:20:00,1.75,0.9,94.5,0
Queen of Surrey,2016/12/26,6:20:00,1.75,0.9,94.5,0
Queen of New Westminster,2016/12/26,7:45:00,1.7,0.95,95.5,0
Spirit of British Columbia,2016/12/26,7:00:00,1.7,0.95,95.5,0
Coastal Inspiration,2016/12/26,7:45:00,1.7,0.95,95.5,0
Queen of Surrey,2016/12/26,8:25:00,1.95,1.25,96,0
Queen of Oak Bay,2016/12/26,8:30:00,1.95,1.25,96,0
Coastal Reissance,2016/12/26,8:00:00,1.95,1.25,96,0
Spirit of Vancouver Island,2016/12/26,9:00:00,2.45,1.6,95,0
Queen of Cowichan,2016/12/26,9:50:00,2.45,1.6,95,0
Queen of Surrey,2016/12/26,10:25:00,2.7,1.7,93.5,1
Queen of imo,2016/12/26,10:10:00,2.7,1.7,93.5,1
Coastal Celebration,2016/12/26,10:00:00,2.7,1.7,93.5,0
Coastal Inspiration,2016/12/26,10:15:00,2.7,1.7,93.5,0
Queen of New Westminster,2016/12/26,10:15:00,2.7,1.7,93.5,0
Queen of Coquitlam,2016/12/26,10:40:00,2.7,1.7,93.5,0
Spirit of British Columbia,2016/12/26,11:00:00,2.4,1.55,94,0
Queen of Surrey,2016/12/26,12:35:00,2.25,1.6,95.5,1
Coastal Inspiration,2016/12/26,12:45:00,2.25,1.6,95.5,0
Queen of New Westminster,2016/12/26,12:45:00,2.25,1.6,95.5,0
Coastal Reissance,2016/12/26,12:00:00,2.25,1.6,95.5,0
Queen of Oak Bay,2016/12/26,12:50:00,2.25,1.6,95.5,1
Spirit of Vancouver Island,2016/12/26,13:00:00,2.9,2.2,95.5,0
Queen of Cowichan,2016/12/26,14:10:00,3.6,2.75,94.5,1
Queen of Surrey,2016/12/26,14:45:00,3.6,2.75,94.5,1
Coastal Celebration,2016/12/26,14:00:00,3.6,2.75,94.5,0
Coastal Inspiration,2016/12/26,15:15:00,3.85,2.9,93.5,0
Spirit of British Columbia,2016/12/26,15:00:00,3.85,2.9,93.5,0
Queen of New Westminster,2016/12/26,15:15:00,3.85,2.9,93.5,0
Queen of Coquitlam,2016/12/26,15:10:00,3.85,2.9,93.5,0
Queen of Surrey,2016/12/26,16:50:00,3.8,2.8,93.5,1
Coastal Reissance,2016/12/26,16:00:00,3.8,2.8,93.5,0
Coastal Inspiration,2016/12/26,17:45:00,3.55,2.7,94.5,1
Queen of Oak Bay,2016/12/26,17:20:00,3.55,2.7,94.5,1
Queen of New Westminster,2016/12/26,17:45:00,3.55,2.7,94.5,1
Spirit of Vancouver Island,2016/12/26,17:00:00,3.55,2.7,94.5,0
Queen of Surrey,2016/12/26,18:50:00,3.15,2.45,95,1
Coastal Celebration,2016/12/26,18:00:00,3.15,2.45,95,0
Queen of imo,2016/12/26,19:20:00,2.85,2.15,95.5,1
Spirit of British Columbia,2016/12/26,19:00:00,2.85,2.15,95.5,0
Queen of Coquitlam,2016/12/26,19:30:00,2.85,2.15,95.5,1
Queen of Surrey,2016/12/26,20:45:00,2.75,2.1,96,0
Coastal Inspiration,2016/12/26,20:15:00,2.75,2.1,96,1
Queen of New Westminster,2016/12/26,20:15:00,2.75,2.1,96,1
Spirit of Vancouver Island,2016/12/26,21:00:00,2.8,2.25,96,1
Queen of Oak Bay,2016/12/26,21:30:00,2.8,2.25,96,1
Queen of New Westminster,2016/12/26,22:45:00,2.9,2.4,96.5,1
Coastal Inspiration,2016/12/26,22:45:00,2.9,2.4,96.5,1
Coastal Inspiration,2016/12/27,5:15:00,4.1,3.45,96,0
Queen of New Westminster,2016/12/27,5:15:00,4.1,3.45,96,0
Queen of Coquitlam,2016/12/27,6:20:00,4.05,3.4,96,0
Queen of Surrey,2016/12/27,6:20:00,4.05,3.4,96,0
Queen of New Westminster,2016/12/27,7:45:00,4,3.4,96,0
Spirit of British Columbia,2016/12/27,7:00:00,4,3.4,96,0
Coastal Inspiration,2016/12/27,7:45:00,4,3.4,96,0
Queen of Oak Bay,2016/12/27,8:30:00,4.55,3.9,96,0
Coastal Reissance,2016/12/27,8:00:00,4.55,3.9,96,0
Queen of Surrey,2016/12/27,8:25:00,4.55,3.9,96,0
Spirit of Vancouver Island,2016/12/27,9:00:00,5.5,4.3,92.5,0
Queen of Cowichan,2016/12/27,9:50:00,5.5,4.3,92.5,0
Coastal Celebration,2016/12/27,10:00:00,5.7,4.3,91,0
Queen of New Westminster,2016/12/27,10:15:00,5.7,4.3,91,0
Coastal Inspiration,2016/12/27,10:15:00,5.7,4.3,91,0
Queen of Coquitlam,2016/12/27,10:40:00,5.7,4.3,91,0
Queen of imo,2016/12/27,10:10:00,5.7,4.3,91,1
Queen of Surrey,2016/12/27,10:25:00,5.7,4.3,91,0
Spirit of British Columbia,2016/12/27,11:00:00,5.4,4.25,92.5,0
Coastal Reissance,2016/12/27,12:00:00,5.45,3.65,88.5,0
Queen of Oak Bay,2016/12/27,12:50:00,5.45,3.65,88.5,0
Queen of New Westminster,2016/12/27,12:45:00,5.45,3.65,88.5,0
Coastal Inspiration,2016/12/27,12:45:00,5.45,3.65,88.5,1
Queen of Surrey,2016/12/27,12:35:00,5.45,3.65,88.5,1
Spirit of Vancouver Island,2016/12/27,13:00:00,5.75,3.1,83,0
Queen of Cowichan,2016/12/27,14:10:00,5.6,3,83,1
Queen of Surrey,2016/12/27,14:45:00,5.6,3,83,1
Coastal Celebration,2016/12/27,14:00:00,5.6,3,83,0
Queen of New Westminster,2016/12/27,15:15:00,5.2,3,85.5,0
Spirit of British Columbia,2016/12/27,15:00:00,5.2,3,85.5,0
Coastal Inspiration,2016/12/27,15:15:00,5.2,3,85.5,1
Queen of Coquitlam,2016/12/27,15:10:00,5.2,3,85.5,0
Queen of Surrey,2016/12/27,16:50:00,5,3.15,88,1
Coastal Reissance,2016/12/27,16:00:00,5,3.15,88,0
Spirit of Vancouver Island,2016/12/27,17:00:00,4.5,3.15,91.5,1
Queen of New Westminster,2016/12/27,17:45:00,4.5,3.15,91.5,0
Coastal Inspiration,2016/12/27,17:45:00,4.5,3.15,91.5,0
Queen of Oak Bay,2016/12/27,17:20:00,4.5,3.15,91.5,0
Queen of Cowichan,2016/12/27,18:30:00,3.9,3,94,1
Coastal Celebration,2016/12/27,18:00:00,3.9,3,94,0
Queen of Surrey,2016/12/27,18:50:00,3.9,3,94,1
Spirit of British Columbia,2016/12/27,19:00:00,3.45,2.7,94.5,1
Queen of imo,2016/12/27,19:20:00,3.45,2.7,94.5,0
Queen of Coquitlam,2016/12/27,19:30:00,3.45,2.7,94.5,0
Coastal Inspiration,2016/12/27,20:15:00,3.25,2.45,94,0
Coastal Reissance,2016/12/27,20:00:00,3.25,2.45,94,1
Queen of New Westminster,2016/12/27,20:15:00,3.25,2.45,94,0
Queen of Surrey,2016/12/27,20:45:00,3.25,2.45,94,1
Queen of Oak Bay,2016/12/27,21:30:00,3.2,2.5,94.5,0
Spirit of Vancouver Island,2016/12/27,21:00:00,3.2,2.5,94.5,0
Coastal Inspiration,2016/12/27,22:45:00,3.15,2.55,95.5,0
Queen of New Westminster,2016/12/27,22:45:00,3.15,2.55,95.5,0
Coastal Celebration,2016/12/27,22:00:00,3.15,2.55,95.5,0
Coastal Inspiration,2016/12/28,5:15:00,3.7,2.8,94,0
Queen of New Westminster,2016/12/28,5:15:00,3.7,2.8,94,1
Queen of Coquitlam,2016/12/28,6:20:00,4.15,2.9,91.5,0
Queen of Surrey,2016/12/28,6:20:00,4.15,2.9,91.5,0
Spirit of British Columbia,2016/12/28,7:00:00,3.85,2.45,90.5,1
Coastal Inspiration,2016/12/28,7:45:00,3.85,2.45,90.5,0
Queen of New Westminster,2016/12/28,7:45:00,3.85,2.45,90.5,0
Queen of Oak Bay,2016/12/28,8:30:00,3.6,2.55,92.5,0
Queen of Surrey,2016/12/28,8:25:00,3.6,2.55,92.5,0
Coastal Reissance,2016/12/28,8:00:00,3.6,2.55,92.5,0
Queen of Cowichan,2016/12/28,9:50:00,4,3.1,93.5,0
Spirit of Vancouver Island,2016/12/28,9:00:00,4,3.1,93.5,0
Coastal Celebration,2016/12/28,10:00:00,4.55,3.65,94.5,0
Queen of Surrey,2016/12/28,10:25:00,4.55,3.65,94.5,0
Queen of imo,2016/12/28,10:10:00,4.55,3.65,94.5,1
Queen of New Westminster,2016/12/28,10:15:00,4.55,3.65,94.5,0
Coastal Inspiration,2016/12/28,10:15:00,4.55,3.65,94.5,0
Queen of Coquitlam,2016/12/28,10:40:00,4.55,3.65,94.5,0
Spirit of British Columbia,2016/12/28,11:00:00,5,3.95,93.5,1
Coastal Inspiration,2016/12/28,12:45:00,4.95,3.9,93,0
Queen of Surrey,2016/12/28,12:35:00,4.95,3.9,93,1
Queen of New Westminster,2016/12/28,12:45:00,4.95,3.9,93,0
