vessel_name,full_date,scheduled_departure,avg_temperature,avg_dew_point_temperature,avg_relative_humidity,avg_wind_direction,avg_wind_speed,avg_visibility,avg_station_pressure,delay_indicator
Spirit of British Columbia,2016/12/22,17:00:00,7.05,4.05,81,250,11.5,24.1,100.865,0
Coastal Reissance,2016/12/22,18:00:00,7,4.25,82.5,250,15.5,24.1,100.83,0
Queen of Cumberland,2016/12/22,18:30:00,7,4.25,82.5,250,15.5,24.1,100.83,0
Skee Queen,2016/12/22,19:00:00,6.6,4.2,84.5,280,11,24.1,100.815,0
Mayne Queen,2016/12/22,19:40:00,6.6,4.2,84.5,280,11,24.1,100.815,0
Spirit of Vancouver Island,2016/12/22,19:00:00,6.6,4.2,84.5,280,11,24.1,100.815,0
Spirit of British Columbia,2016/12/22,21:00:00,5.3,3.5,88,360,1,24.1,100.75,0
Skee Queen,2016/12/22,21:00:00,5.3,3.5,88,360,1,24.1,100.75,0
Mayne Queen,2016/12/23,5:10:00,2.4,1.4,93,360,10,9.7,100.17,0
Queen of Cumberland,2016/12/23,5:20:00,2.4,1.4,93,360,10,9.7,100.17,0
Skee Queen,2016/12/23,7:00:00,1.75,0.65,92.5,355,8.5,8.1,100.12,0
Spirit of Vancouver Island,2016/12/23,7:00:00,1.75,0.65,92.5,355,8.5,8.1,100.12,0
Coastal Celebration,2016/12/23,8:00:00,1.9,0.9,93,335,7,12.1,100.12,0
Queen of Cumberland,2016/12/23,8:30:00,1.9,0.9,93,335,7,12.1,100.12,0
Spirit of British Columbia,2016/12/23,9:00:00,2.15,1.2,93.5,290,5.5,16.1,100.18,0
Skee Queen,2016/12/23,9:00:00,2.15,1.2,93.5,290,5.5,16.1,100.18,0
Mayne Queen,2016/12/23,9:10:00,2.15,1.2,93.5,290,5.5,16.1,100.18,0
Coastal Reissance,2016/12/23,10:00:00,2.6,1.55,93,260,6.5,16.1,100.24,0
Queen of Cumberland,2016/12/23,10:25:00,2.6,1.55,93,260,6.5,16.1,100.24,0
Spirit of Vancouver Island,2016/12/23,11:00:00,3.05,1.85,92,275,9,14.5,100.26,0
Skee Queen,2016/12/23,11:00:00,3.05,1.85,92,275,9,14.5,100.26,0
Coastal Celebration,2016/12/23,12:00:00,3.3,2.05,91.5,290,6.5,14.5,100.26,0
Skee Queen,2016/12/23,13:00:00,3.4,2.1,91,150,5,14.5,100.27,0
Spirit of British Columbia,2016/12/23,13:00:00,3.4,2.1,91,150,5,14.5,100.27,0
Queen of Cumberland,2016/12/23,14:15:00,3.5,2.1,90.5,25,5,14.5,100.32,0
Mayne Queen,2016/12/23,14:50:00,3.5,2.1,90.5,25,5,14.5,100.32,0
Coastal Reissance,2016/12/23,14:00:00,3.5,2.1,90.5,25,5,14.5,100.32,0
Skee Queen,2016/12/23,15:00:00,3.6,2.1,90,50,5.5,20.1,100.38,0
Spirit of Vancouver Island,2016/12/23,15:00:00,3.6,2.1,90,50,5.5,20.1,100.38,0
Coastal Celebration,2016/12/23,16:00:00,3.6,2.05,89.5,210,4.5,24.1,100.445,0
Queen of Cumberland,2016/12/23,16:15:00,3.6,2.05,89.5,210,4.5,24.1,100.445,0
Spirit of British Columbia,2016/12/23,17:00:00,3.7,2,88.5,205,4.5,24.1,100.505,0
Skee Queen,2016/12/23,17:00:00,3.7,2,88.5,205,4.5,24.1,100.505,0
Coastal Reissance,2016/12/23,18:00:00,3.9,2.1,88,55,6.5,24.1,100.55,1
Queen of Cumberland,2016/12/23,18:30:00,3.9,2.1,88,55,6.5,24.1,100.55,0
Mayne Queen,2016/12/23,19:40:00,3.95,2.05,87.5,40,6,24.1,100.6,0
Skee Queen,2016/12/23,19:00:00,3.95,2.05,87.5,40,6,24.1,100.6,0
Spirit of Vancouver Island,2016/12/23,19:00:00,3.95,2.05,87.5,40,6,24.1,100.6,0
Skee Queen,2016/12/23,21:00:00,3.5,2,90,350,7,19.3,100.7,1
Spirit of British Columbia,2016/12/23,21:00:00,3.5,2,90,350,7,19.3,100.7,0
Queen of Cumberland,2016/12/24,5:50:00,1.4,0.4,93,340,6,24.1,101.21,0
Mayne Queen,2016/12/24,5:40:00,1.4,0.4,93,340,6,24.1,101.21,0
Skee Queen,2016/12/24,7:00:00,1.05,0.15,94,340,6,24.1,101.295,0
Spirit of Vancouver Island,2016/12/24,7:00:00,1.05,0.15,94,340,6,24.1,101.295,0
Mayne Queen,2016/12/24,8:15:00,1.15,0.15,93,340,6,24.1,101.35,0
Coastal Celebration,2016/12/24,8:00:00,1.15,0.15,93,340,6,24.1,101.35,0
Skee Queen,2016/12/24,9:00:00,1.75,0.15,89,175,6,24.1,101.41,0
Spirit of British Columbia,2016/12/24,9:00:00,1.75,0.15,89,175,6,24.1,101.41,0
Queen of Cumberland,2016/12/24,9:35:00,1.75,0.15,89,175,6,24.1,101.41,0
Coastal Reissance,2016/12/24,10:00:00,3.05,0.25,82,180,9,24.1,101.445,0
Skee Queen,2016/12/24,11:00:00,4,0.5,78,350,12.5,24.1,101.455,0
Spirit of Vancouver Island,2016/12/24,11:00:00,4,0.5,78,350,12.5,24.1,101.455,0
Coastal Celebration,2016/12/24,12:00:00,4.2,0.7,78,350,12.5,24.1,101.46,0
Spirit of British Columbia,2016/12/24,13:00:00,3.9,0.7,79.5,350,12,24.1,101.46,0
Skee Queen,2016/12/24,13:00:00,3.9,0.7,79.5,350,12,24.1,101.46,0
Queen of Cumberland,2016/12/24,14:30:00,3.7,0.7,80.5,355,11,24.1,101.47,0
Coastal Reissance,2016/12/24,14:00:00,3.7,0.7,80.5,355,11,24.1,101.47,0
Spirit of Vancouver Island,2016/12/24,15:00:00,3.65,0.55,80,360,9.5,24.1,101.49,0
Skee Queen,2016/12/24,15:00:00,3.65,0.55,80,360,9.5,24.1,101.49,0
Mayne Queen,2016/12/24,16:00:00,3.05,0.3,82,360,9,24.1,101.525,0
Spirit of British Columbia,2016/12/24,17:00:00,2.15,0.05,86,355,6,24.1,101.565,0
Skee Queen,2016/12/24,17:00:00,2.15,0.05,86,355,6,24.1,101.565,0
Queen of Cumberland,2016/12/24,18:35:00,1.7,-0.35,86.5,350,4,24.1,101.575,0
Mayne Queen,2016/12/24,19:10:00,1.4,-0.55,87,355,4.5,24.1,101.595,0
Skee Queen,2016/12/24,19:00:00,1.4,-0.55,87,355,4.5,24.1,101.595,0
Spirit of Vancouver Island,2016/12/24,19:00:00,1.4,-0.55,87,355,4.5,24.1,101.595,0
Spirit of British Columbia,2016/12/24,21:00:00,0.9,-0.7,89,20,5,24.1,101.63,0
Skee Queen,2016/12/24,21:00:00,0.9,-0.7,89,20,5,24.1,101.63,0
Mayne Queen,2016/12/25,6:00:00,1.4,-4.95,63,195,7.5,24.1,101.855,1
Spirit of Vancouver Island,2016/12/25,7:00:00,0.65,-4.35,69.5,350,8,24.1,101.895,0
Queen of Cumberland,2016/12/25,9:35:00,0.45,-3.55,74.5,345,6.5,24.1,102.015,0
Skee Queen,2016/12/25,9:00:00,0.45,-3.55,74.5,345,6.5,24.1,102.015,0
Spirit of British Columbia,2016/12/25,9:00:00,0.45,-3.55,74.5,345,6.5,24.1,102.015,0
Skee Queen,2016/12/25,11:00:00,2.35,-2.7,69.5,180,7.5,24.1,102.105,0
Spirit of Vancouver Island,2016/12/25,11:00:00,2.35,-2.7,69.5,180,7.5,24.1,102.105,0
Spirit of British Columbia,2016/12/25,13:00:00,2.85,-3.75,62,185,13,24.1,102.12,0
Skee Queen,2016/12/25,13:00:00,2.85,-3.75,62,185,13,24.1,102.12,0
Mayne Queen,2016/12/25,14:15:00,2.8,-3.8,62,185,11,24.1,102.125,0
Queen of Cumberland,2016/12/25,14:40:00,2.8,-3.8,62,185,11,24.1,102.125,0
Spirit of Vancouver Island,2016/12/25,15:00:00,2.5,-3.95,62.5,355,11,24.1,102.13,0
Skee Queen,2016/12/25,15:00:00,2.5,-3.95,62.5,355,11,24.1,102.13,0
Skee Queen,2016/12/25,17:00:00,1.9,-3.7,66.5,350,9,24.1,102.19,0
Mayne Queen,2016/12/25,17:25:00,1.9,-3.7,66.5,350,9,24.1,102.19,0
Spirit of British Columbia,2016/12/25,17:00:00,1.9,-3.7,66.5,350,9,24.1,102.19,0
Queen of Cumberland,2016/12/25,18:25:00,1.7,-3.7,67.5,350,9,24.1,102.2,0
Mayne Queen,2016/12/25,19:10:00,1.55,-3.35,70,350,9,24.1,102.225,0
Skee Queen,2016/12/25,19:00:00,1.55,-3.35,70,350,9,24.1,102.225,0
Spirit of Vancouver Island,2016/12/25,19:00:00,1.55,-3.35,70,350,9,24.1,102.225,0
Skee Queen,2016/12/25,21:00:00,1.5,-3.4,70,360,10,24.1,102.25,0
Spirit of British Columbia,2016/12/25,21:00:00,1.5,-3.4,70,360,10,24.1,102.25,0
Queen of Cumberland,2016/12/26,5:20:00,2.8,0.2,83,120,0,24.1,102.34,0
Mayne Queen,2016/12/26,5:10:00,2.8,0.2,83,120,0,24.1,102.34,0
Spirit of Vancouver Island,2016/12/26,7:00:00,4.05,1.25,82,110,10.5,24.1,102.29,0
Skee Queen,2016/12/26,7:00:00,4.05,1.25,82,110,10.5,24.1,102.29,0
Queen of Cumberland,2016/12/26,8:30:00,3.95,1.35,83,100,11.5,24.1,102.285,0
Coastal Celebration,2016/12/26,8:00:00,3.95,1.35,83,100,11.5,24.1,102.285,0
Mayne Queen,2016/12/26,9:10:00,4.05,1.5,83.5,105,14.5,24.1,102.245,0
Skee Queen,2016/12/26,9:00:00,4.05,1.5,83.5,105,14.5,24.1,102.245,0
Spirit of British Columbia,2016/12/26,9:00:00,4.05,1.5,83.5,105,14.5,24.1,102.245,0
Coastal Reissance,2016/12/26,10:00:00,4.5,2.1,84.5,105,18.5,24.1,102.135,0
Queen of Cumberland,2016/12/26,10:25:00,4.5,2.1,84.5,105,18.5,24.1,102.135,0
Skee Queen,2016/12/26,11:00:00,4.85,2.4,84,95,15,24.1,102,0
Spirit of Vancouver Island,2016/12/26,11:00:00,4.85,2.4,84,95,15,24.1,102,0
Coastal Celebration,2016/12/26,12:00:00,5.05,2,80.5,110,8.5,24.1,101.845,0
Skee Queen,2016/12/26,13:00:00,5.25,1.65,77.5,120,4.5,24.1,101.715,0
Spirit of British Columbia,2016/12/26,13:00:00,5.25,1.65,77.5,120,4.5,24.1,101.715,0
Queen of Cumberland,2016/12/26,14:15:00,5.35,1.65,77,235,5.5,24.1,101.62,1
Mayne Queen,2016/12/26,14:50:00,5.35,1.65,77,235,5.5,24.1,101.62,0
Coastal Reissance,2016/12/26,14:00:00,5.35,1.65,77,235,5.5,24.1,101.62,0
Spirit of Vancouver Island,2016/12/26,15:00:00,5.3,1.8,78,205,7.5,20.1,101.525,1
Skee Queen,2016/12/26,15:00:00,5.3,1.8,78,205,7.5,20.1,101.525,0
Coastal Celebration,2016/12/26,16:00:00,5.4,2.1,79,75,11.5,16.1,101.425,0
Queen of Cumberland,2016/12/26,16:15:00,5.4,2.1,79,75,11.5,16.1,101.425,0
Skee Queen,2016/12/26,17:00:00,5.2,2.05,80,110,15.5,16.1,101.33,0
Spirit of British Columbia,2016/12/26,17:00:00,5.2,2.05,80,110,15.5,16.1,101.33,0
Coastal Reissance,2016/12/26,18:00:00,4.9,2.1,82,125,18.5,12.9,101.215,0
Queen of Cumberland,2016/12/26,18:30:00,4.9,2.1,82,125,18.5,12.9,101.215,0
Mayne Queen,2016/12/26,19:40:00,5.05,2.45,83,135,23,12.9,101.075,0
Skee Queen,2016/12/26,19:00:00,5.05,2.45,83,135,23,12.9,101.075,0
Spirit of Vancouver Island,2016/12/26,19:00:00,5.05,2.45,83,135,23,12.9,101.075,0
Skee Queen,2016/12/26,21:00:00,5.4,2.9,84,130,21,16.1,100.99,0
Spirit of British Columbia,2016/12/26,21:00:00,5.4,2.9,84,130,21,16.1,100.99,1
Queen of Cumberland,2016/12/27,5:20:00,5.7,3.4,85,240,24,24.1,101.23,0
Mayne Queen,2016/12/27,5:10:00,5.7,3.4,85,240,24,24.1,101.23,0
Spirit of Vancouver Island,2016/12/27,7:00:00,6.3,3.55,82.5,230,30.5,24.1,101.265,0
Skee Queen,2016/12/27,7:00:00,6.3,3.55,82.5,230,30.5,24.1,101.265,0
Queen of Cumberland,2016/12/27,8:30:00,5.85,3.1,82.5,235,26.5,24.1,101.315,0
Coastal Celebration,2016/12/27,8:00:00,5.85,3.1,82.5,235,26.5,24.1,101.315,0
Mayne Queen,2016/12/27,9:10:00,5.75,3,82.5,235,24.5,24.1,101.36,0
Spirit of British Columbia,2016/12/27,9:00:00,5.75,3,82.5,235,24.5,24.1,101.36,0
Skee Queen,2016/12/27,9:00:00,5.75,3,82.5,235,24.5,24.1,101.36,0
Queen of Cumberland,2016/12/27,10:25:00,6.45,2.8,77.5,235,21,24.1,101.375,0
Coastal Reissance,2016/12/27,10:00:00,6.45,2.8,77.5,235,21,24.1,101.375,0
Spirit of Vancouver Island,2016/12/27,11:00:00,6.2,2.75,78.5,245,28,18.5,101.405,0
Skee Queen,2016/12/27,11:00:00,6.2,2.75,78.5,245,28,18.5,101.405,0
Coastal Celebration,2016/12/27,12:00:00,5.55,3.1,84,245,36,14.5,101.465,0
Spirit of British Columbia,2016/12/27,13:00:00,5.6,3.2,84.5,240,27.5,16.1,101.515,0
Skee Queen,2016/12/27,13:00:00,5.6,3.2,84.5,240,27.5,16.1,101.515,0
Queen of Cumberland,2016/12/27,14:15:00,5.65,3.35,85,240,23,16.1,101.565,0
Mayne Queen,2016/12/27,14:50:00,5.65,3.35,85,240,23,16.1,101.565,0
Coastal Reissance,2016/12/27,14:00:00,5.65,3.35,85,240,23,16.1,101.565,0
Skee Queen,2016/12/27,15:00:00,5.65,2.95,82.5,240,17,20.1,101.635,0
Spirit of Vancouver Island,2016/12/27,15:00:00,5.65,2.95,82.5,240,17,20.1,101.635,1
Coastal Celebration,2016/12/27,16:00:00,5,2.05,81,245,20.5,16.9,101.73,0
Queen of Cumberland,2016/12/27,16:15:00,5,2.05,81,245,20.5,16.9,101.73,0
Spirit of British Columbia,2016/12/27,17:00:00,4.75,2.4,84.5,250,23,16.9,101.82,1
Skee Queen,2016/12/27,17:00:00,4.75,2.4,84.5,250,23,16.9,101.82,0
Coastal Reissance,2016/12/27,18:00:00,5.2,3,85.5,240,20.5,24.1,101.875,1
Queen of Cumberland,2016/12/27,18:30:00,5.2,3,85.5,240,20.5,24.1,101.875,0
Skee Queen,2016/12/27,19:00:00,5.3,3,85,230,27,24.1,101.93,0
Mayne Queen,2016/12/27,19:40:00,5.3,3,85,230,27,24.1,101.93,0
Spirit of Vancouver Island,2016/12/27,19:00:00,5.3,3,85,230,27,24.1,101.93,0
Coastal Celebration,2016/12/27,20:00:00,5.25,2.6,83,240,25,24.1,102.03,0
Spirit of British Columbia,2016/12/27,21:00:00,5.1,2.1,81,250,23,24.1,102.1,1
Skee Queen,2016/12/27,21:00:00,5.1,2.1,81,250,23,24.1,102.1,0
Mayne Queen,2016/12/28,5:10:00,6.1,2.4,77,250,12,24.1,102.72,0
Queen of Cumberland,2016/12/28,5:20:00,6.1,2.4,77,250,12,24.1,102.72,0
Skee Queen,2016/12/28,7:00:00,6.3,1.8,73,150,12.5,24.1,102.805,0
Spirit of Vancouver Island,2016/12/28,7:00:00,6.3,1.8,73,150,12.5,24.1,102.805,0
Queen of Cumberland,2016/12/28,8:30:00,6,2.6,78.5,120,13,24.1,102.84,0
Coastal Celebration,2016/12/28,8:00:00,6,2.6,78.5,120,13,24.1,102.84,0
Spirit of British Columbia,2016/12/28,9:00:00,5.9,2.4,78,100,9,24.1,102.905,1
Mayne Queen,2016/12/28,9:10:00,5.9,2.4,78,100,9,24.1,102.905,0
Skee Queen,2016/12/28,9:00:00,5.9,2.4,78,100,9,24.1,102.905,0
Coastal Reissance,2016/12/28,10:00:00,5.8,2.55,79.5,100,9.5,24.1,102.945,0
Queen of Cumberland,2016/12/28,10:25:00,5.8,2.55,79.5,100,9.5,24.1,102.945,0
Skee Queen,2016/12/28,11:00:00,6.3,2.15,75,135,10,24.1,102.945,0
Spirit of Vancouver Island,2016/12/28,11:00:00,6.3,2.15,75,135,10,24.1,102.945,0
Coastal Celebration,2016/12/28,12:00:00,6.85,2.05,71.5,185,6,24.1,102.95,0
Spirit of British Columbia,2016/12/28,13:00:00,6.95,2.45,73,185,6,24.1,102.945,1
Skee Queen,2016/12/28,13:00:00,6.95,2.45,73,185,6,24.1,102.945,0
Mayne Queen,2016/12/28,14:50:00,7,2.3,72,155,5.5,24.1,102.93,0
Queen of Cumberland,2016/12/28,14:15:00,7,2.3,72,155,5.5,24.1,102.93,0
Coastal Reissance,2016/12/28,14:00:00,7,2.3,72,155,5.5,24.1,102.93,0
Skee Queen,2016/12/28,15:00:00,6.85,2.45,73.5,140,7,24.1,102.905,0
Spirit of Vancouver Island,2016/12/28,15:00:00,6.85,2.45,73.5,140,7,24.1,102.905,0
Coastal Celebration,2016/12/28,16:00:00,6.7,2.7,75.5,120,7.5,24.1,102.88,0
Queen of Cumberland,2016/12/28,16:15:00,6.7,2.7,75.5,120,7.5,24.1,102.88,0
Spirit of British Columbia,2016/12/28,17:00:00,6.7,3.05,77.5,95,5,24.1,102.845,1
Skee Queen,2016/12/28,17:00:00,6.7,3.05,77.5,95,5,24.1,102.845,0
Queen of Cumberland,2016/12/28,18:30:00,6.15,3.15,81,210,6,24.1,102.805,1
Coastal Reissance,2016/12/28,18:00:00,6.15,3.15,81,210,6,24.1,102.805,1
Mayne Queen,2016/12/28,19:40:00,5.35,3,84.5,345,8,24.1,102.79,0
Spirit of Vancouver Island,2016/12/28,19:00:00,5.35,3,84.5,345,8,24.1,102.79,0
Spirit of British Columbia,2016/12/28,21:00:00,5.2,3.1,86,20,8,24.1,102.71,1
Skee Queen,2016/12/28,21:00:00,5.2,3.1,86,20,8,24.1,102.71,0
Queen of Cumberland,2016/12/29,5:20:00,6.3,3.1,80,110,10,9.7,102,0
Mayne Queen,2016/12/29,5:10:00,6.3,3.1,80,110,10,9.7,102,0
Spirit of Vancouver Island,2016/12/29,7:00:00,5.5,3.5,87,360,4.5,11.3,101.91,0
Skee Queen,2016/12/29,7:00:00,5.5,3.5,87,360,4.5,11.3,101.91,0
Queen of Cumberland,2016/12/29,8:30:00,4.95,3.95,93,350,5,14.5,101.845,0
Spirit of British Columbia,2016/12/29,9:00:00,5.15,4.15,93,340,4,16.1,101.81,0
Skee Queen,2016/12/29,9:00:00,5.15,4.15,93,340,4,16.1,101.81,0
Mayne Queen,2016/12/29,9:10:00,5.15,4.15,93,340,4,16.1,101.81,0
Queen of Cumberland,2016/12/29,10:25:00,5.9,4.15,88.5,235,5,20.1,101.765,0
Spirit of Vancouver Island,2016/12/29,11:00:00,6.6,4,83.5,220,4.5,24.1,101.7,0
Skee Queen,2016/12/29,11:00:00,6.6,4,83.5,220,4.5,24.1,101.7,0
Coastal Celebration,2016/12/29,12:00:00,6.6,4.55,87,300,6,16.1,101.7,0
Skee Queen,2016/12/29,13:00:00,6.6,4.75,88,280,14,8.1,101.775,0
Spirit of British Columbia,2016/12/29,13:00:00,6.6,4.75,88,280,14,8.1,101.775,0
Queen of Cumberland,2016/12/29,14:15:00,6.5,4.25,85.5,260,18.5,8.1,101.84,1
Coastal Reissance,2016/12/29,14:00:00,6.5,4.25,85.5,260,18.5,8.1,101.84,0
Mayne Queen,2016/12/29,14:50:00,6.5,4.25,85.5,260,18.5,8.1,101.84,0
Skee Queen,2016/12/29,15:00:00,6.45,4.25,86,250,20.5,8.1,101.865,0
Spirit of Vancouver Island,2016/12/29,15:00:00,6.45,4.25,86,250,20.5,8.1,101.865,0
Queen of Cumberland,2016/12/29,16:15:00,6.4,4.05,85,255,23.5,8.1,101.91,1
Coastal Celebration,2016/12/29,16:00:00,6.4,4.05,85,255,23.5,8.1,101.91,0
Spirit of British Columbia,2016/12/29,17:00:00,6.3,3.55,82.5,260,18.5,16.1,101.955,0
Skee Queen,2016/12/29,17:00:00,6.3,3.55,82.5,260,18.5,16.1,101.955,0
Coastal Reissance,2016/12/29,18:00:00,6.5,3.05,78.5,240,12.5,24.1,101.985,0
Queen of Cumberland,2016/12/29,18:30:00,6.5,3.05,78.5,240,12.5,24.1,101.985,1
Mayne Queen,2016/12/29,19:40:00,6.4,2.6,76.5,235,12.5,24.1,102.03,0
Skee Queen,2016/12/29,19:00:00,6.4,2.6,76.5,235,12.5,24.1,102.03,0
Spirit of Vancouver Island,2016/12/29,19:00:00,6.4,2.6,76.5,235,12.5,24.1,102.03,0
Spirit of British Columbia,2016/12/29,21:00:00,6.1,2.6,78,230,22,24.1,102.09,0
Skee Queen,2016/12/29,21:00:00,6.1,2.6,78,230,22,24.1,102.09,0
Mayne Queen,2016/12/30,5:10:00,0.8,-0.2,93,20,3,24.1,102.39,0
Queen of Cumberland,2016/12/30,5:20:00,0.8,-0.2,93,20,3,24.1,102.39,0
Skee Queen,2016/12/30,7:00:00,0.55,-0.45,93,350,5,24.1,102.435,0
Spirit of Vancouver Island,2016/12/30,7:00:00,0.55,-0.45,93,350,5,24.1,102.435,0
Queen of Cumberland,2016/12/30,8:30:00,0.5,-0.45,93.5,350,4.5,24.1,102.5,0
Mayne Queen,2016/12/30,9:10:00,1.45,0.2,91.5,360,2.5,24.1,102.585,0
Skee Queen,2016/12/30,9:00:00,1.45,0.2,91.5,360,2.5,24.1,102.585,0
Spirit of British Columbia,2016/12/30,9:00:00,1.45,0.2,91.5,360,2.5,24.1,102.585,0
Queen of Cumberland,2016/12/30,10:25:00,2.25,0.55,88.5,345,3,24.1,102.645,0
Spirit of Vancouver Island,2016/12/30,11:00:00,3.95,1.15,82,345,2.5,24.1,102.655,0
Skee Queen,2016/12/30,11:00:00,3.95,1.15,82,345,2.5,24.1,102.655,0
Coastal Celebration,2016/12/30,12:00:00,5.75,-0.15,66.5,350,6.5,24.1,102.64,0
Spirit of British Columbia,2016/12/30,13:00:00,6.4,-1.35,57.5,335,11.5,24.1,102.645,0
Skee Queen,2016/12/30,13:00:00,6.4,-1.35,57.5,335,11.5,24.1,102.645,0
Mayne Queen,2016/12/30,14:50:00,6.5,-1.05,58.5,340,12.5,24.1,102.655,0
Coastal Reissance,2016/12/30,14:00:00,6.5,-1.05,58.5,340,12.5,24.1,102.655,0
Queen of Cumberland,2016/12/30,14:15:00,6.5,-1.05,58.5,340,12.5,24.1,102.655,0
Spirit of Vancouver Island,2016/12/30,15:00:00,6.2,-0.9,60.5,350,10,24.1,102.67,0
Skee Queen,2016/12/30,15:00:00,6.2,-0.9,60.5,350,10,24.1,102.67,0
Coastal Celebration,2016/12/30,16:00:00,5.4,-0.25,67,355,4.5,24.1,102.695,0
Queen of Cumberland,2016/12/30,16:15:00,5.4,-0.25,67,355,4.5,24.1,102.695,0
Skee Queen,2016/12/30,17:00:00,4.4,0.6,76.5,330,3,24.1,102.68,0
Spirit of British Columbia,2016/12/30,17:00:00,4.4,0.6,76.5,330,3,24.1,102.68,0
Queen of Cumberland,2016/12/30,18:30:00,3.15,0.3,81.5,330,4,24.1,102.65,0
Coastal Reissance,2016/12/30,18:00:00,3.15,0.3,81.5,330,4,24.1,102.65,0
Spirit of Vancouver Island,2016/12/30,19:00:00,1.9,-0.6,83.5,345,4,24.1,102.63,0
Skee Queen,2016/12/30,19:00:00,1.9,-0.6,83.5,345,4,24.1,102.63,0
Mayne Queen,2016/12/30,19:40:00,1.9,-0.6,83.5,345,4,24.1,102.63,0
Skee Queen,2016/12/30,21:00:00,1.2,-0.9,86,350,4,24.1,102.62,0
Spirit of British Columbia,2016/12/30,21:00:00,1.2,-0.9,86,350,4,24.1,102.62,0
Queen of Cumberland,2016/12/31,5:50:00,-0.8,-1.7,94,340,3,24.1,102.25,0
Mayne Queen,2016/12/31,5:40:00,-0.8,-1.7,94,340,3,24.1,102.25,0
Spirit of Vancouver Island,2016/12/31,7:00:00,0.3,-0.9,92,335,7,24.1,102.045,0
Skee Queen,2016/12/31,7:00:00,0.3,-0.9,92,335,7,24.1,102.045,0
Mayne Queen,2016/12/31,8:15:00,0.7,-0.55,91.5,340,5,24.1,101.95,0
Skee Queen,2016/12/31,9:00:00,1.55,0.1,90,345,3,24.1,101.915,0
Spirit of British Columbia,2016/12/31,9:00:00,1.55,0.1,90,345,3,24.1,101.915,0
Spirit of Vancouver Island,2016/12/31,11:00:00,2.95,1.35,89,260,5,16.1,101.7,0
Skee Queen,2016/12/31,11:00:00,2.95,1.35,89,260,5,16.1,101.7,0
Skee Queen,2016/12/31,13:00:00,4.45,2.45,87,215,14.5,24.1,101.33,0
Spirit of British Columbia,2016/12/31,13:00:00,4.45,2.45,87,215,14.5,24.1,101.33,0
Queen of Cumberland,2016/12/31,14:30:00,4.5,2.6,87.5,245,20,21.7,101.17,0
Spirit of Vancouver Island,2016/12/31,15:00:00,4.35,2.65,88.5,210,16.5,21.7,101.035,0
Skee Queen,2016/12/31,15:00:00,4.35,2.65,88.5,210,16.5,21.7,101.035,0
Mayne Queen,2016/12/31,16:00:00,4.75,2.45,85,210,21.5,24.1,100.885,0
Spirit of British Columbia,2016/12/31,17:00:00,4.75,1.35,78.5,255,20,24.1,100.77,1
Skee Queen,2016/12/31,17:00:00,4.75,1.35,78.5,255,20,24.1,100.77,0
Queen of Cumberland,2016/12/31,18:35:00,4.25,0.5,76.5,265,9.5,24.1,100.705,0
Mayne Queen,2016/12/31,19:10:00,3.55,0.4,80,145,8.5,24.1,100.7,0
Skee Queen,2016/12/31,19:00:00,3.55,0.4,80,145,8.5,24.1,100.7,0
Spirit of Vancouver Island,2016/12/31,19:00:00,3.55,0.4,80,145,8.5,24.1,100.7,1
Skee Queen,2016/12/31,21:00:00,2.8,0.2,83,320,6,24.1,100.71,0
Spirit of British Columbia,2016/12/31,21:00:00,2.8,0.2,83,320,6,24.1,100.71,0
Mayne Queen,2017/1/1,6:00:00,1.8,0.55,91.5,345,12,20.1,100.665,0
Spirit of Vancouver Island,2017/1/1,7:00:00,2,0.35,89,335,10,24.1,100.68,0
Spirit of British Columbia,2017/1/1,9:00:00,3.45,-2.65,64.5,360,20.5,24.1,100.73,0
Queen of Cumberland,2017/1/1,9:35:00,3.45,-2.65,64.5,360,20.5,24.1,100.73,0
Skee Queen,2017/1/1,9:00:00,3.45,-2.65,64.5,360,20.5,24.1,100.73,0
Spirit of Vancouver Island,2017/1/1,11:00:00,4.2,-5.9,48,10,19,24.1,100.82,0
Skee Queen,2017/1/1,11:00:00,4.2,-5.9,48,10,19,24.1,100.82,0
Spirit of British Columbia,2017/1/1,13:00:00,4.3,-8.15,40,15,21,24.1,100.82,0
Skee Queen,2017/1/1,13:00:00,4.3,-8.15,40,15,21,24.1,100.82,0
Queen of Cumberland,2017/1/1,14:40:00,3.85,-8.25,41,15,20.5,24.1,100.83,0
Mayne Queen,2017/1/1,14:15:00,3.85,-8.25,41,15,20.5,24.1,100.83,0
Skee Queen,2017/1/1,15:00:00,3.45,-8.3,42,20,24,24.1,100.865,0
Spirit of Vancouver Island,2017/1/1,15:00:00,3.45,-8.3,42,20,24,24.1,100.865,0
Coastal Celebration,2017/1/1,16:00:00,3.2,-7.9,44,15,23.5,24.1,100.91,0
Spirit of British Columbia,2017/1/1,17:00:00,2.85,-8.25,44,20,23,24.1,100.95,0
Skee Queen,2017/1/1,17:00:00,2.85,-8.25,44,20,23,24.1,100.95,0
Mayne Queen,2017/1/1,17:25:00,2.85,-8.25,44,20,23,24.1,100.95,0
Queen of Cumberland,2017/1/1,18:25:00,2.45,-9.7,40.5,30,26.5,24.1,100.98,0
Spirit of Vancouver Island,2017/1/1,19:00:00,2.2,-10.55,38.5,30,29,24.1,101.025,0
Mayne Queen,2017/1/1,19:10:00,2.2,-10.55,38.5,30,29,24.1,101.025,0
